2019-04-08 21:00:52 install libsmartcols1:arm64 <none> 2.31.1-0.4ubuntu3
2019-04-08 21:00:52 status half-installed libsmartcols1:arm64 2.31.1-0.4ubuntu3
2019-04-08 21:00:52 status unpacked libsmartcols1:arm64 2.31.1-0.4ubuntu3
2019-04-08 21:00:52 status unpacked libsmartcols1:arm64 2.31.1-0.4ubuntu3
2019-04-08 21:00:52 install libss2:arm64 <none> 1.44.1-1
2019-04-08 21:00:52 status half-installed libss2:arm64 1.44.1-1
2019-04-08 21:00:52 status unpacked libss2:arm64 1.44.1-1
2019-04-08 21:00:52 status unpacked libss2:arm64 1.44.1-1
2019-04-08 21:00:52 install libsystemd0:arm64 <none> 237-3ubuntu10
2019-04-08 21:00:52 status half-installed libsystemd0:arm64 237-3ubuntu10
2019-04-08 21:00:52 status unpacked libsystemd0:arm64 237-3ubuntu10
2019-04-08 21:00:52 status unpacked libsystemd0:arm64 237-3ubuntu10
2019-04-08 21:00:52 install libtinfo5:arm64 <none> 6.1-1ubuntu1
2019-04-08 21:00:52 status half-installed libtinfo5:arm64 6.1-1ubuntu1
2019-04-08 21:00:52 status unpacked libtinfo5:arm64 6.1-1ubuntu1
2019-04-08 21:00:52 status unpacked libtinfo5:arm64 6.1-1ubuntu1
2019-04-08 21:00:52 install libudev1:arm64 <none> 237-3ubuntu10
2019-04-08 21:00:52 status half-installed libudev1:arm64 237-3ubuntu10
2019-04-08 21:00:52 status unpacked libudev1:arm64 237-3ubuntu10
2019-04-08 21:00:52 status unpacked libudev1:arm64 237-3ubuntu10
2019-04-08 21:00:52 install libuuid1:arm64 <none> 2.31.1-0.4ubuntu3
2019-04-08 21:00:52 status half-installed libuuid1:arm64 2.31.1-0.4ubuntu3
2019-04-08 21:00:52 status unpacked libuuid1:arm64 2.31.1-0.4ubuntu3
2019-04-08 21:00:52 status unpacked libuuid1:arm64 2.31.1-0.4ubuntu3
2019-04-08 21:00:52 install libzstd1:arm64 <none> 1.3.3+dfsg-2ubuntu1
2019-04-08 21:00:52 status half-installed libzstd1:arm64 1.3.3+dfsg-2ubuntu1
2019-04-08 21:00:52 status unpacked libzstd1:arm64 1.3.3+dfsg-2ubuntu1
2019-04-08 21:00:52 status unpacked libzstd1:arm64 1.3.3+dfsg-2ubuntu1
2019-04-08 21:00:52 install login:arm64 <none> 1:4.5-1ubuntu1
2019-04-08 21:00:52 status half-installed login:arm64 1:4.5-1ubuntu1
2019-04-08 21:00:52 status unpacked login:arm64 1:4.5-1ubuntu1
2019-04-08 21:00:52 status unpacked login:arm64 1:4.5-1ubuntu1
2019-04-08 21:00:52 install lsb-base:all <none> 9.20170808ubuntu1
2019-04-08 21:00:52 status half-installed lsb-base:all 9.20170808ubuntu1
2019-04-08 21:00:52 status unpacked lsb-base:all 9.20170808ubuntu1
2019-04-08 21:00:52 status unpacked lsb-base:all 9.20170808ubuntu1
2019-04-08 21:00:52 upgrade mawk:arm64 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2019-04-08 21:00:52 status half-configured mawk:arm64 1.3.3-17ubuntu3
2019-04-08 21:00:52 status unpacked mawk:arm64 1.3.3-17ubuntu3
2019-04-08 21:00:52 status half-installed mawk:arm64 1.3.3-17ubuntu3
2019-04-08 21:00:52 status half-installed mawk:arm64 1.3.3-17ubuntu3
2019-04-08 21:00:52 status unpacked mawk:arm64 1.3.3-17ubuntu3
2019-04-08 21:00:52 status unpacked mawk:arm64 1.3.3-17ubuntu3
